Name,Price
Dell Vostro 3425 Laptop AMD Ryzen 5-5500U/8GB/512GB/14.0" (35.56cm) FHD TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light/Windows 11+ MSO'21/15 Month McAfee/Carbon Black/1.48kg,52490.
Lenovo IdeaPad Slim 3 Intel Core i3-1115G4 11th Gen 15.6" (39.62cm) FHD Laptop (8GB/256GB SSD/Win 11/Office 2021/2 Year Warranty/3 Month Game Pass/Arctic Grey/1.65Kg) 82H803GTIN,34990
ASUS Vivobook 15 Intel Core i5-12500H 12th Gen 15.6" (39.62 cm) FHD Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Silver/1.7 kg) X1502ZA-EJ542WS,60990
Acer Aspire 3 Intel Core i5 12th Generation (16GB/512 GB SSD/Windows 11 Home/MS Office/1.7 Kg/Silver) A315-59 with 15.6-inch (39.6 cms) Full HD Laptop,53990
Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0") Full HD Display (Silver),49932
HP Pavilion Laptop 13th Gen Intel Core i7-1360P 15.6 inch(39.6cm) FHD 16GB RAM 1TB SSD Intel Iris Xe Graphics B&O Backlit KB FPR (Win 11 MSO 2021 Alexa Natural Silver 1.75 Kg) 15-eg3036TU,92696
HP Laptop 15 11th Gen Intel Core i5-1155G7 15.6-inch (39.6 cm) FHD 16GB DDR4 512GB SSD Intel Iris Xᵉ Graphics Backlit KB Dual Speakers (Win 11 MSO 2021 Silver 1.69 kg) fr4001TU,55990
Honor MagicBook 15 AMD Ryzen 5 5500U 15.6-inch (39.62 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Metal Body/Fingerprint Login/1.54Kg) Mystic Silver,48567
Acer One 14 Business Laptop Intel® Celeron® Processor N4500 (8GB RAM/256GB SSD/Windows 11 Home) Z8-284 with 29.5 cm (11.6") HD Display (Black),23490
Dell Vostro 3420 LaptopIntel i5-1135G7/8GB/512GB SSD/14.0"(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg,49490
Apple 2023 MacBook Air laptop with M2 chip: 38.91cm (15.3 inch) Liquid Retina display 8GB RAM 512GB SSD storage backlit keyboard 1080p FaceTime HD cameraTouch ID Works with iPhone/iPad; Space Gray,154900
Dell Vostro 3420 Laptop12th Gen Core i3-1215U/8GB & 512GB SSD/14.0" (35.56cm)FHDTÜV Rheinland Certified Comfortview Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg,41490
ASUS Vivobook 16X AMD Ryzen 7 5800H 16" (40.64 cm) WUXGA Thin & Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit/Fingerprint/Silver/1.88 kg) M1603QA-MB742WS,62990
Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg) 81X800N2IN,36700
Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0") HD Display (Rose Gold),28990
Lenovo V15 Intel Celeron N4500 15.6" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/DOS/Black/1Y Onsite/1.7 kg) 82QYA00HIN,22990
Dell Vostro 3420 Laptop12th Gen i5-1235U/8GB/512GB SSD/14.0" (35.56cm) FHD TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emission/Windows 11 + MSO'21/Black/15 Month McAfee1.48kg,54490
Dell Vostro 3510 LaptopIntel i5-1135G7/8GB/512GB/15.6" (39.62cm)FHDTÜV Rheinland Certified Comfortview Reduce Harmful Blue Light Emissions/Backlit KB + FPR/Win11+ MSO'21/15 Month McAfee/Grey/1.69kg,51490
(Renewed) Lenovo Notebook V145 7th Gen AMD A6 Thin & Light FHD Laptop (8 GB DDR4 RAM/256 GB SSD/15.6"(39.6 cm) FHD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/AMD R4 Graphics),18999
HP 14s Intel Celeron N4500 8GB RAM/256GB SSD 14-inches/35.6 cm HD Micro-Edge Display/Alexa Built-in/Windows 11/Intel UHD Graphics/Dual Speakers/MSO 2021/1.46 Kg 14s-dq3037tu,28490
Honor MagicBook 14 AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg) Gray NobelM-WFQ9AHNE,40990
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 14" (35.56cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Game Pass/Arctic Grey/1.41Kg) 82H701DNIN,36990
Dell Vostro 3425 LaptopAMD Ryzen 3-5425U/8GB DDR4/256GB SSD/Windows 11+MSO'21/14.0"(35.56 cm) FHDTÜV Rheinland Certified Comfortview Reduce Harmful Blue light/15 Month McAfee/Carbon Black/1.48kg,36490
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 15.6" (39.62cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Backlit/2Yr Warranty/3months Game Pass/Arctic Grey/1.63Kg) 82RK0085IN,57800